timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2021-11-18,339.72,342.46,335.3,338.69,338.69,17487235,0.0000,1.0
2021-11-17,344.24,347.3,340.1,340.77,340.77,13602812,0.0000,1.0
2021-11-16,343.83,346.65,340.87,342.96,342.96,18181106,0.0000,1.0
2021-11-15,344.34,353.65,343.2,347.56,347.56,25076603,0.0000,1.0
2021-11-12,330.18,341.86,329.78,340.89,340.89,25099642,0.0000,1.0
2021-11-11,329.82,332.459,327.0,327.74,327.74,12376563,0.0000,1.0
2021-11-10,332.49,333.19,325.51,327.64,327.64,21872605,0.0000,1.0
2021-11-09,340.0,341.3075,334.47,335.37,335.37,17469000,0.0000,1.0
2021-11-08,344.42,344.789,338.34,338.62,338.62,18342458,0.0000,1.0
2021-11-05,340.31,346.79,339.64,341.13,341.13,26872817,0.0000,1.0
2021-11-04,334.0065,337.273,332.65,335.85,335.85,22495281,0.0000,1.0
2021-11-03,327.49,332.15,323.2,331.62,331.62,20786502,0.0000,1.0
2021-11-02,331.38,334.7895,323.8,328.08,328.08,28259036,0.0000,1.0
2021-11-01,326.04,333.45,326.0,329.98,329.98,31164440,0.0000,1.0
2021-10-29,320.19,325.9999,319.6,323.57,323.57,37059384,0.0000,1.0
2021-10-28,312.99,325.52,308.11,316.92,316.92,50806840,0.0000,1.0
2021-10-27,314.19,319.25,312.06,312.22,312.22,29971761,0.0000,1.0
2021-10-26,328.26,330.2099,309.6,315.81,315.81,65654043,0.0000,1.0
2021-10-25,320.3,329.56,319.72,328.69,328.69,38408957,0.0000,1.0
2021-10-22,326.345,329.63,321.11,324.61,324.61,35224543,0.0000,1.0
2021-10-21,340.275,342.31,337.8,341.88,341.88,16354423,0.0000,1.0
2021-10-20,343.445,343.98,339.4531,340.78,340.78,13639465,0.0000,1.0
2021-10-19,339.645,342.46,337.28,339.99,339.99,18786316,0.0000,1.0
2021-10-18,328.95,335.89,327.5,335.34,335.34,21585018,0.0000,1.0
2021-10-15,328.68,329.07,322.51,324.76,324.76,21596370,0.0000,1.0
2021-10-14,328.355,330.52,327.1,328.53,328.53,14302154,0.0000,1.0
2021-10-13,326.97,327.0,322.66,324.54,324.54,14761470,0.0000,1.0
2021-10-12,323.03,324.38,317.37,323.77,323.77,31658684,0.0000,1.0
2021-10-11,327.625,330.46,325.31,325.45,325.45,14708224,0.0000,1.0
2021-10-08,331.51,333.4,328.71,330.05,330.05,15946110,0.0000,1.0
2021-10-07,337.0,338.84,328.98,329.22,329.22,28307456,0.0000,1.0
2021-10-06,329.74,334.38,325.8,333.64,333.64,26443010,0.0000,1.0
2021-10-05,328.58,335.18,326.1638,332.96,332.96,35377947,0.0000,1.0
2021-10-04,335.53,335.94,322.7,326.23,326.23,42884975,0.0000,1.0
2021-10-01,341.61,345.02,338.64,343.01,343.01,14905311,0.0000,1.0
2021-09-30,340.445,342.8,338.15,339.39,339.39,16547094,0.0000,1.0
2021-09-29,343.15,345.23,338.88,339.61,339.61,14452241,0.0000,1.0
2021-09-28,347.97,349.6,338.92,340.65,340.65,21710286,0.0000,1.0
2021-09-27,349.805,355.15,347.08,353.58,353.58,15205843,0.0000,1.0
2021-09-24,343.2387,354.35,342.37,352.96,352.96,18801933,0.0000,1.0
2021-09-23,345.355,349.67,343.0,345.96,345.96,21806264,0.0000,1.0
2021-09-22,347.23,349.84,340.6901,343.21,343.21,43692859,0.0000,1.0
2021-09-21,358.5,360.04,355.19,357.48,357.48,11751917,0.0000,1.0
2021-09-20,359.3,361.03,349.8,355.7,355.7,19822772,0.0000,1.0
2021-09-17,371.405,371.41,361.59,364.72,364.72,26298966,0.0000,1.0
2021-09-16,372.79,373.56,369.71,373.06,373.06,11934217,0.0000,1.0
2021-09-15,377.0,377.555,367.67,373.92,373.92,17940297,0.0000,1.0
2021-09-14,377.4,378.59,375.11,376.53,376.53,8711569,0.0000,1.0
2021-09-13,381.68,381.75,374.3451,376.51,376.51,13026275,0.0000,1.0
2021-09-10,381.361,383.79,378.26,378.69,378.69,11549595,0.0000,1.0
2021-09-09,377.64,379.83,376.565,378.0,378.0,9098941,0.0000,1.0
2021-09-08,380.16,380.87,374.79,377.57,377.57,11067166,0.0000,1.0
2021-09-07,375.88,382.96,373.15,382.18,382.18,10798920,0.0000,1.0
2021-09-03,374.75,377.16,373.11,376.26,376.26,7511356,0.0000,1.0
2021-09-02,381.5,381.75,374.06,375.28,375.28,14838274,0.0000,1.0
2021-09-01,379.59,384.33,378.81,382.05,382.05,11567163,0.0000,1.0
2021-08-31,379.95,382.759,378.8,379.38,379.38,12345350,0.0000,1.0
2021-08-30,372.56,381.49,370.52,380.66,380.66,13547261,0.0000,1.0
2021-08-27,365.1,373.74,364.08,372.63,372.63,11219142,0.0000,1.0
2021-08-26,368.375,369.44,364.13,364.38,364.38,7888683,0.0000,1.0
2021-08-25,365.6,370.86,365.4,368.39,368.39,9684519,0.0000,1.0
2021-08-24,363.66,367.9559,361.84,365.51,365.51,9235148,0.0000,1.0
2021-08-23,359.44,365.69,359.1,363.35,363.35,10942007,0.0000,1.0
2021-08-20,354.6,359.9898,353.31,359.37,359.37,8697667,0.0000,1.0
2021-08-19,351.345,357.57,351.0,355.12,355.12,12004535,0.0000,1.0
2021-08-18,356.25,359.86,355.15,355.45,355.45,10042381,0.0000,1.0
2021-08-17,362.98,364.67,355.07,358.45,358.45,12328737,0.0000,1.0
2021-08-16,362.52,366.95,357.38,366.56,366.56,11232269,0.0000,1.0
2021-08-13,362.97,364.6607,361.48,363.18,363.18,7184414,0.0000,1.0
2021-08-12,358.45,363.0,357.11,362.65,362.65,7175206,0.0000,1.0
2021-08-11,362.1,362.36,357.81,359.96,359.96,8400332,0.0000,1.0
2021-08-10,361.825,364.1,359.0435,361.13,361.13,7469878,0.0000,1.0
2021-08-09,363.7623,365.775,360.75,361.61,361.61,7798872,0.0000,1.0
2021-08-06,361.4,365.15,361.395,363.51,363.51,8925017,0.0000,1.0
2021-08-05,359.64,363.9,356.9,362.97,362.97,10247207,0.0000,1.0
2021-08-04,352.42,360.48,351.51,358.92,358.92,14180572,0.0000,1.0
2021-08-03,352.73,353.7699,347.7,351.24,351.24,12406054,0.0000,1.0
2021-08-02,358.1,359.4,350.74,351.95,351.95,13180439,0.0000,1.0
2021-07-30,354.0,360.73,352.94,356.3,356.3,15976179,0.0000,1.0
2021-07-29,361.0,365.52,356.74,358.32,358.32,32210926,0.0000,1.0
2021-07-28,374.56,377.5499,366.93,373.28,373.28,29676910,0.0000,1.0
2021-07-27,371.91,373.15,364.55,367.81,367.81,15705447,0.0000,1.0
2021-07-26,369.58,374.44,368.22,372.46,372.46,14925222,0.0000,1.0
2021-07-23,360.91,375.33,357.19,369.79,369.79,33694328,0.0000,1.0
2021-07-22,346.68,351.54,345.21,351.19,351.19,12385441,0.0000,1.0
2021-07-21,341.5,346.52,341.25,346.23,346.23,9279657,0.0000,1.0
2021-07-20,338.8,343.45,334.5,341.66,341.66,11024277,0.0000,1.0
2021-07-19,337.57,339.79,334.54,336.95,336.95,14372345,0.0000,1.0
2021-07-16,344.91,345.9899,340.14,341.16,341.16,11026093,0.0000,1.0
2021-07-15,349.2348,349.2348,340.22,344.46,344.46,14781594,0.0000,1.0
2021-07-14,354.56,355.2,346.73,347.63,347.63,13894221,0.0000,1.0
2021-07-13,351.5,358.49,348.8,352.09,352.09,11455963,0.0000,1.0
2021-07-12,351.23,354.19,349.64,353.16,353.16,10018624,0.0000,1.0
2021-07-09,345.32,350.71,345.265,350.42,350.42,13018694,0.0000,1.0
2021-07-08,345.73,348.33,342.56,345.65,345.65,14406457,0.0000,1.0
2021-07-07,355.26,356.49,350.0,350.49,350.49,14218866,0.0000,1.0
2021-07-06,356.5,358.79,349.18,352.78,352.78,13488455,0.0000,1.0
2021-07-02,355.1,356.44,352.62,354.7,354.7,11524614,0.0000,1.0
2021-07-01,346.82,354.6699,346.5,354.39,354.39,17137021,0.0000,1.0
2021-06-30,352.165,352.92,347.17,347.71,347.71,15107514,0.0000,1.0
